,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
344,345,160,4,36.0,2592,1,3,3,0,4,0,10,2,2,4,5,5,3,1976,1976,1,1,5,5,2,0.0,3,4,1,2,3,3,4,129,1,232,175,536,0,4,1,4,536,576,0,1112,0,0,1,1,3,1,3,4,5,0,1,1976.0,2,1,336,4,4,2,182,0,0,0,0,0,4,2010,8,4,85000
345,346,50,3,65.0,6435,1,3,3,0,4,0,3,6,2,0,0,6,5,1939,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,972,972,0,2,1,4,972,605,0,1577,0,0,1,0,3,1,1,6,5,1,5,1939.0,2,1,312,4,4,2,0,0,0,0,0,0,10,2006,8,4,140200
348,349,160,3,36.0,2448,1,3,3,0,4,0,16,2,2,3,5,7,5,2003,2004,1,1,12,15,3,106.0,2,4,2,2,3,3,2,573,5,0,191,764,0,0,1,4,764,862,0,1626,1,0,2,1,2,1,2,6,5,0,3,2003.0,1,2,474,4,4,2,0,27,0,0,0,0,10,2008,8,4,154000
349,350,60,3,56.0,20431,1,1,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,5,5,1,870.0,0,4,2,0,3,3,2,1410,5,0,438,1848,0,0,1,4,1848,880,0,2728,1,0,2,1,4,1,0,10,5,2,1,2006.0,0,3,706,4,4,2,0,0,0,0,0,0,4,2006,6,5,437154
350,351,120,3,68.0,7820,1,0,3,0,4,0,16,2,2,4,2,9,5,2007,2007,3,1,8,8,1,362.0,0,4,2,0,3,3,5,0,5,0,1869,1869,0,0,1,4,1869,0,0,1869,0,0,2,0,2,1,0,6,5,1,1,2007.0,1,2,617,4,4,2,210,54,0,0,0,0,12,2007,6,5,318061
352,353,50,3,60.0,9084,1,3,3,0,4,0,7,0,2,0,0,5,6,1941,1950,1,1,12,13,2,0.0,3,4,1,3,0,2,3,236,4,380,0,616,0,4,0,4,616,495,0,1111,0,1,1,0,3,1,3,5,5,0,5,1941.0,2,1,200,4,1,2,48,0,0,0,0,0,3,2008,5,4,95000
353,354,30,4,60.0,8520,1,3,3,0,4,0,17,2,2,0,2,6,8,1928,2003,1,1,12,13,2,0.0,3,2,0,3,3,3,5,0,5,0,624,624,0,2,1,4,720,0,0,720,0,0,1,0,2,1,3,5,5,0,5,2005.0,2,2,484,4,4,2,106,0,0,0,0,0,5,2010,8,4,105900
354,355,50,3,60.0,8400,1,3,0,0,4,0,18,2,2,0,0,6,5,1940,2000,1,1,13,8,2,0.0,3,4,1,3,3,3,3,388,5,0,552,940,0,0,1,4,1192,403,0,1595,0,0,1,0,2,1,3,6,5,2,1,1940.0,2,1,240,4,4,2,0,0,108,0,0,0,6,2006,8,4,140000
355,356,20,3,105.0,11249,1,1,3,0,4,0,5,2,2,0,2,6,5,1995,1995,1,1,12,13,2,0.0,2,2,2,2,1,3,0,334,1,544,322,1200,0,0,1,4,1200,0,0,1200,1,0,2,0,3,1,2,6,5,0,1,1995.0,1,2,521,4,4,2,0,26,0,0,0,0,8,2007,8,4,177500
357,358,120,4,44.0,4224,1,3,3,0,4,0,10,2,2,4,2,5,5,1976,1976,1,1,5,5,2,0.0,3,4,2,2,3,3,0,874,5,0,268,1142,0,4,1,4,1142,0,0,1142,1,0,1,1,3,1,3,6,5,1,1,1976.0,0,2,528,4,4,2,536,90,0,0,0,0,8,2007,8,4,134000
358,359,80,3,92.0,6930,1,0,3,0,4,0,4,2,2,0,7,5,4,1958,1958,3,1,13,7,1,120.0,3,4,1,3,3,0,1,300,4,294,468,1062,0,0,1,1,1352,0,0,1352,0,1,1,0,3,1,2,6,3,0,3,1958.0,2,1,288,4,4,2,168,0,294,0,0,0,7,2006,8,0,130000
359,360,60,3,78.0,12011,1,0,3,0,1,0,15,2,2,0,5,8,5,1998,1998,1,1,12,13,1,530.0,2,4,2,2,3,0,2,956,5,0,130,1086,0,0,1,4,1086,838,0,1924,1,0,2,1,3,1,2,7,5,1,1,1998.0,1,2,592,4,4,2,208,75,0,0,374,0,6,2006,8,4,280000
362,363,85,3,64.0,7301,1,3,3,0,0,0,7,2,2,0,6,7,5,2003,2003,1,1,6,6,1,500.0,2,4,3,4,4,4,6,0,6,0,0,0,0,0,1,4,495,1427,0,1922,0,0,3,0,4,1,2,7,5,1,3,2003.0,1,2,672,4,4,2,0,0,177,0,0,0,7,2009,3,4,198500
363,364,160,4,21.0,1680,1,3,3,0,4,0,2,2,2,3,5,6,8,1972,2007,1,1,6,6,1,510.0,3,4,1,3,3,3,0,162,5,0,321,483,0,2,1,4,483,504,0,987,0,0,1,1,2,1,2,5,5,0,5,1972.0,2,1,264,4,4,2,250,0,0,0,0,0,5,2009,8,4,118000
365,366,70,4,59.0,10690,1,3,3,0,4,0,9,2,2,0,5,5,7,1920,1997,3,1,12,13,2,0.0,3,2,1,3,0,3,4,456,5,0,216,672,0,2,1,0,672,672,0,1344,0,0,1,0,3,1,3,6,5,0,5,1964.0,2,1,468,4,1,2,0,128,218,0,0,0,7,2009,8,4,147000
367,368,80,3,101.0,9150,1,0,3,0,0,0,12,2,2,0,7,6,5,1962,1962,1,4,9,10,1,305.0,3,4,1,2,3,1,2,371,5,0,728,1099,0,2,1,4,1431,0,0,1431,0,1,1,0,3,1,3,6,5,1,2,1962.0,1,1,296,4,4,2,64,110,0,0,0,0,12,2008,8,4,165000
368,369,20,3,78.0,7800,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1954,1,1,6,6,1,200.0,3,4,2,3,3,3,3,540,5,0,728,1268,0,2,1,4,1268,0,0,1268,0,0,1,0,2,1,3,7,5,1,1,1954.0,0,1,244,4,4,2,0,98,0,0,0,0,3,2010,8,4,132000
371,372,50,3,80.0,17120,1,3,3,0,4,0,4,1,2,0,0,4,4,1959,1959,1,1,14,10,2,0.0,3,4,1,4,4,4,6,0,6,0,0,0,0,4,1,4,1120,468,0,1588,0,0,2,0,4,1,3,7,3,1,5,1991.0,0,2,680,4,4,0,0,59,0,0,0,0,7,2008,8,4,134432
372,373,120,3,50.0,7175,1,3,3,0,4,0,20,2,2,4,2,6,5,1984,1984,1,1,9,10,2,0.0,3,4,1,2,3,3,0,623,3,121,0,744,0,4,1,4,752,0,0,752,1,0,1,0,2,1,3,4,5,0,1,1984.0,2,1,264,4,4,2,353,0,0,0,90,0,2,2010,8,4,125000
373,374,20,3,79.0,10634,1,3,3,0,4,0,12,2,2,0,2,5,6,1953,1953,1,1,8,8,2,0.0,3,4,2,3,3,3,1,428,3,180,0,608,0,4,1,4,1319,0,0,1319,1,0,1,0,3,1,3,5,3,0,1,1953.0,2,1,270,4,4,2,66,0,0,0,0,0,11,2009,8,4,123000
374,375,60,3,65.0,8200,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2004,1,1,12,13,2,0.0,2,4,2,2,3,3,5,0,5,0,847,847,0,0,1,4,847,1081,0,1928,0,0,2,1,4,1,2,8,5,1,3,2003.0,0,2,434,4,4,2,100,48,0,0,0,0,7,2007,8,4,219500
376,377,85,3,57.0,8846,1,0,3,0,1,0,5,2,2,0,6,5,5,1996,1996,1,1,12,13,2,0.0,2,4,2,2,3,0,2,298,5,0,572,870,0,0,1,4,914,0,0,914,0,0,1,0,2,1,3,5,5,0,5,1998.0,2,2,576,4,4,2,0,0,0,0,0,0,7,2006,8,4,148000
377,378,60,1,102.0,11143,1,0,3,0,0,0,21,2,2,0,5,8,5,2004,2005,1,1,5,5,2,0.0,2,4,2,2,3,3,5,0,5,0,1580,1580,0,0,1,4,1580,886,0,2466,0,0,3,0,4,1,2,8,5,1,1,2004.0,1,2,610,4,4,2,159,214,0,0,0,0,12,2007,8,4,340000
378,379,20,3,88.0,11394,1,3,3,0,0,0,22,2,2,0,2,9,2,2010,2010,3,1,12,13,3,350.0,2,4,2,0,3,0,2,1445,5,0,411,1856,0,0,1,4,1856,0,0,1856,1,0,1,1,1,1,0,8,5,1,1,2010.0,0,3,834,4,4,2,113,0,0,0,0,0,6,2010,6,5,394432
379,380,60,3,60.0,8123,1,0,3,0,4,0,8,6,2,0,5,6,5,2000,2000,1,1,12,13,1,16.0,3,4,2,2,3,3,5,0,5,0,982,982,0,0,1,4,1007,793,0,1800,0,0,2,1,3,1,3,7,5,1,1,2000.0,0,2,463,4,4,2,100,63,0,0,0,0,6,2009,8,4,179000
380,381,50,3,50.0,5000,1,3,3,0,4,0,18,2,2,0,0,5,6,1924,1950,1,1,3,14,2,0.0,3,4,0,3,3,3,3,218,5,0,808,1026,0,4,1,4,1026,665,0,1691,0,0,2,0,3,1,2,6,5,1,5,1924.0,2,1,308,4,4,2,0,0,242,0,0,0,5,2010,8,4,127000
381,382,20,1,60.0,7200,1,3,3,0,4,0,21,2,2,0,2,7,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,1,3,5,0,5,0,1293,1293,0,0,1,4,1301,0,0,1301,1,0,2,0,2,1,2,5,5,1,1,2006.0,1,2,572,4,4,2,216,121,0,0,0,0,8,2006,6,5,187750
382,383,60,3,79.0,9245,1,0,3,0,4,0,5,2,2,0,5,7,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,0,5,0,5,0,939,939,0,0,1,4,939,858,0,1797,0,0,2,1,3,1,2,8,5,0,1,2006.0,1,2,639,4,4,2,144,53,0,0,0,0,4,2007,8,4,213500
383,384,45,2,60.0,9000,1,3,3,0,0,0,20,2,2,0,1,6,3,1928,1950,1,1,13,14,2,0.0,3,4,0,1,0,3,5,0,5,0,784,784,0,4,0,0,784,0,0,784,0,0,1,0,2,1,3,5,5,0,5,1950.0,2,2,360,1,1,0,0,0,91,0,0,0,10,2009,8,4,76000
385,386,120,3,43.0,3182,1,3,3,0,4,0,0,2,2,4,2,8,5,2004,2005,1,1,12,13,1,16.0,2,4,2,2,3,3,2,24,5,0,1232,1256,0,0,1,4,1269,0,0,1269,0,0,2,0,2,1,2,6,5,1,1,2004.0,0,2,430,4,4,2,146,20,0,0,144,0,4,2010,8,4,192000
386,387,50,3,58.0,8410,1,3,3,0,2,0,7,1,2,0,0,5,3,1910,1996,2,1,13,13,2,0.0,3,1,2,3,3,3,5,0,5,0,658,658,0,4,1,4,658,526,0,1184,0,0,1,0,5,1,3,8,5,0,6,1978.5430346051464,3,0,0,5,5,0,0,151,0,0,0,0,5,2006,8,1,81000
387,388,80,3,72.0,7200,1,3,3,0,4,0,7,2,2,0,7,6,6,1976,1976,3,1,8,8,1,255.0,3,4,1,3,3,0,0,631,5,0,410,1041,0,0,1,4,1125,0,0,1125,1,0,1,0,3,1,3,6,5,1,5,1977.0,2,1,352,4,4,2,296,0,0,0,0,0,10,2009,8,0,125000
388,389,20,3,93.0,9382,1,0,3,0,1,0,5,2,2,0,2,7,5,1999,2000,1,1,12,13,1,125.0,2,4,2,2,3,3,5,0,5,0,1468,1468,0,0,1,4,1479,0,0,1479,0,0,2,0,3,1,2,6,5,0,1,1999.0,1,2,577,4,4,2,120,25,0,0,0,0,7,2008,8,4,191000
389,390,60,3,96.0,12474,1,3,3,0,4,0,16,2,2,0,5,10,5,2007,2008,1,1,12,13,3,272.0,0,4,2,0,3,0,2,1280,5,0,402,1682,0,0,1,4,1742,590,0,2332,1,0,2,1,3,1,0,9,5,1,3,2008.0,0,3,846,4,4,2,196,134,0,0,0,0,8,2008,6,5,426000
390,391,50,3,50.0,8405,1,3,3,0,4,0,7,2,2,0,0,5,8,1900,1950,1,1,8,8,2,0.0,3,4,0,3,1,3,4,241,1,391,229,861,0,0,1,4,961,406,0,1367,1,0,1,0,4,1,3,7,5,0,5,1978.0,2,1,384,4,4,2,0,130,112,0,0,0,4,2008,8,4,119000
391,392,60,3,71.0,12209,1,0,3,0,1,0,11,2,2,0,5,6,5,2001,2002,1,1,12,13,2,0.0,3,4,2,0,3,3,0,690,5,0,114,804,0,0,1,4,804,1157,0,1961,1,0,2,1,3,1,2,7,5,1,3,2001.0,0,2,560,4,4,2,125,192,0,0,0,0,6,2009,8,4,215000
394,395,50,3,60.0,10134,1,3,3,0,4,0,17,2,2,0,0,5,6,1940,1950,1,1,8,8,2,0.0,3,4,1,3,3,3,5,0,5,0,735,735,0,2,1,0,735,299,0,1034,0,0,1,0,2,1,3,5,5,0,5,1940.0,2,1,240,4,4,2,0,39,0,0,0,0,7,2007,8,4,109000
395,396,20,3,68.0,9571,1,3,3,0,4,0,7,2,2,0,2,5,6,1956,1956,1,1,13,14,2,0.0,3,4,1,3,3,0,1,739,5,0,405,1144,0,4,1,4,1144,0,0,1144,1,0,1,0,3,1,3,6,5,0,1,1956.0,2,1,596,4,4,2,44,0,0,0,0,0,6,2010,8,4,129000
396,397,20,3,60.0,7200,1,3,2,0,4,0,5,2,2,0,2,5,5,1972,1972,3,1,8,8,2,0.0,3,4,1,3,3,0,4,777,5,0,117,894,0,4,1,4,894,0,0,894,0,0,1,0,2,1,3,6,5,0,5,1985.0,1,2,600,4,4,2,215,0,0,0,0,0,9,2009,8,4,123000
397,398,60,3,69.0,7590,1,3,3,0,4,0,12,4,2,0,5,5,5,1962,1962,1,1,12,13,1,288.0,3,4,1,3,3,3,0,540,5,0,324,864,0,4,1,4,876,936,0,1812,0,0,2,0,4,1,3,8,5,1,1,1962.0,1,1,264,4,4,2,0,168,0,0,0,0,7,2007,8,4,169500
398,399,30,4,60.0,8967,1,3,3,0,0,0,9,2,2,0,2,5,2,1920,1950,1,1,8,8,2,0.0,3,1,0,1,2,3,5,0,5,0,961,961,0,2,1,3,1077,0,0,1077,0,0,1,0,2,1,3,6,1,0,5,1920.0,2,1,338,3,3,0,0,0,0,0,0,0,11,2007,8,0,67000
399,400,60,1,65.0,8125,1,3,3,0,4,0,21,2,2,0,5,7,5,2006,2007,1,1,5,5,3,100.0,2,4,2,2,3,3,2,812,5,0,280,1092,0,0,1,4,1112,438,0,1550,1,0,2,0,2,1,2,7,5,0,1,2007.0,0,2,438,4,4,2,0,168,0,0,0,0,10,2009,8,4,241000
400,401,120,3,38.0,14963,1,1,3,0,4,0,24,2,2,4,2,8,5,1996,1996,1,1,3,3,2,0.0,2,4,2,2,3,3,2,786,5,0,474,1260,0,0,1,4,1288,0,0,1288,1,0,1,1,1,1,0,4,5,2,1,1996.0,0,2,500,4,4,2,120,30,0,0,224,0,12,2008,8,4,245500
401,402,20,3,65.0,8767,1,0,3,0,4,0,5,2,2,0,2,7,5,2005,2005,1,1,12,13,2,0.0,2,4,2,2,3,0,2,24,5,0,1286,1310,0,0,1,4,1310,0,0,1310,0,0,2,0,3,1,2,6,5,1,1,2005.0,0,2,400,4,4,2,0,0,0,0,0,0,7,2006,6,5,164990
402,403,30,3,60.0,10200,1,3,3,0,4,0,19,2,2,0,2,5,8,1940,1997,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,672,672,0,0,1,4,672,0,0,672,0,0,1,0,2,1,3,4,5,0,5,1940.0,2,1,240,4,4,0,168,0,0,0,0,0,8,2008,8,4,108000
403,404,60,3,93.0,12090,1,3,3,0,0,0,15,2,2,0,5,8,5,1998,1998,3,1,12,13,1,650.0,2,4,2,2,3,3,5,0,5,0,1141,1141,0,2,1,4,1165,1098,0,2263,0,0,2,1,4,1,2,10,5,1,3,1998.0,0,2,420,4,4,2,144,123,0,0,0,0,7,2006,8,0,258000
406,407,50,3,51.0,10480,1,3,3,0,4,0,18,2,2,0,0,6,5,1936,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,1064,1064,0,0,1,0,1166,0,473,1639,0,0,1,0,3,1,3,6,1,0,5,1936.0,2,1,240,4,4,2,0,0,0,0,0,0,3,2008,8,4,115000
407,408,70,3,63.0,15576,1,3,3,0,4,0,6,2,2,0,5,6,7,1915,1976,1,1,13,10,2,0.0,3,4,0,2,3,3,5,0,5,0,840,840,0,0,1,4,840,840,0,1680,0,0,2,0,4,1,3,8,5,0,1,1960.0,2,1,308,4,4,2,0,0,160,0,0,0,3,2008,8,4,177000
408,409,60,3,109.0,14154,1,3,3,0,0,0,16,2,2,0,5,7,5,2006,2006,1,1,12,13,1,350.0,2,4,2,0,1,3,5,0,5,0,1063,1063,0,0,1,4,1071,1101,0,2172,0,0,2,1,3,1,2,9,5,1,1,2006.0,1,3,947,4,4,2,192,62,0,0,0,0,8,2007,6,5,280000
409,410,60,1,85.0,10800,1,3,3,0,4,0,21,2,2,0,5,8,5,2007,2008,1,1,12,13,3,100.0,2,4,2,0,3,3,2,789,5,0,245,1034,0,0,1,4,1050,1028,0,2078,1,0,2,1,3,1,0,8,5,1,1,2008.0,0,3,836,4,4,2,0,102,0,0,0,0,4,2008,6,5,339750
410,411,20,3,68.0,9571,1,3,3,0,4,0,7,2,2,0,2,5,3,1958,1958,1,1,2,2,2,0.0,3,1,1,3,0,3,5,0,5,0,1276,1276,0,4,1,0,1276,0,0,1276,0,0,1,0,3,1,3,5,4,0,1,1958.0,2,1,350,4,4,2,0,0,0,0,0,0,6,2009,0,0,60000
411,412,190,3,100.0,34650,1,3,0,0,4,0,8,2,2,1,2,5,5,1955,1955,3,1,13,14,2,0.0,3,4,1,3,3,2,4,1056,5,0,0,1056,0,4,0,4,1056,0,0,1056,1,0,1,0,3,1,3,5,5,0,1,1955.0,0,2,572,4,4,2,264,0,0,0,0,0,1,2006,8,4,145000
413,414,30,4,56.0,8960,1,3,3,0,4,0,17,0,2,0,2,5,6,1927,1950,1,1,14,15,2,0.0,3,4,1,3,3,3,5,0,5,0,1008,1008,0,2,1,0,1028,0,0,1028,0,0,1,0,2,1,3,5,5,1,5,1927.0,2,2,360,4,4,2,0,0,130,0,0,0,3,2010,8,4,115000
414,415,60,3,59.0,11228,1,1,3,0,1,0,20,2,2,0,5,7,5,1993,1993,1,1,12,13,2,0.0,2,4,2,2,3,3,1,50,2,531,499,1080,0,0,1,4,1080,1017,0,2097,0,1,2,1,3,1,2,9,5,1,1,1993.0,2,3,678,4,4,2,196,187,0,0,0,0,12,2008,8,4,228000
415,416,20,3,73.0,8899,1,0,3,0,4,0,8,2,2,0,2,7,5,2007,2007,1,1,12,13,2,0.0,2,4,2,2,3,0,2,24,5,0,1316,1340,0,0,1,4,1340,0,0,1340,0,0,2,0,3,1,2,6,5,0,1,2007.0,0,2,396,4,4,2,100,30,0,0,0,0,8,2007,6,5,181134
416,417,60,3,74.0,7844,1,3,3,0,4,0,19,2,2,0,5,6,7,1978,1978,3,1,6,6,1,203.0,3,4,1,3,3,3,0,209,5,0,463,672,0,4,1,4,672,728,0,1400,0,0,1,1,3,1,3,6,5,1,1,1978.0,0,2,440,4,4,2,0,0,0,0,0,0,3,2006,8,4,149500
417,418,70,3,86.0,22420,1,0,3,0,4,0,6,1,2,0,5,6,6,1918,1950,3,1,13,12,2,0.0,3,4,0,2,3,3,1,1128,5,0,242,1370,1,4,0,0,1370,1254,0,2624,1,0,2,1,4,1,3,10,5,1,5,1918.0,2,3,864,4,4,0,0,0,0,0,0,0,11,2007,8,4,239000
418,419,50,3,60.0,8160,1,3,3,0,4,0,7,2,2,0,0,5,6,1940,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,0,312,5,0,444,756,0,1,0,1,756,378,0,1134,1,0,1,1,3,1,3,7,5,0,5,1940.0,2,1,240,4,4,1,0,0,0,0,0,0,4,2007,8,1,126000
419,420,20,3,65.0,8450,1,3,3,0,4,0,12,2,2,0,2,5,6,1968,1968,1,1,12,13,2,0.0,3,4,1,3,3,3,1,775,5,0,281,1056,0,0,1,4,1056,0,0,1056,1,0,1,0,3,1,3,6,5,1,1,1968.0,2,1,304,4,4,2,0,85,184,0,0,0,7,2010,8,4,142000
420,421,90,4,78.0,7060,1,3,3,0,4,0,11,2,2,2,6,7,5,1997,1998,1,1,12,13,1,200.0,3,2,2,2,1,1,2,1309,5,0,35,1344,0,0,1,4,1344,0,0,1344,2,0,2,0,2,2,3,8,5,0,1,1997.0,0,4,784,4,4,2,0,0,0,0,0,0,11,2008,8,2,206300
422,423,20,3,100.0,21750,1,3,1,0,4,1,11,0,2,0,2,5,5,1954,1954,3,1,6,6,2,0.0,3,4,1,3,3,3,5,0,5,0,988,988,0,0,1,0,988,0,0,988,0,0,1,0,2,1,3,4,5,0,1,1954.0,1,2,520,4,4,0,0,0,0,0,0,0,2,2008,8,4,113000
423,424,60,3,80.0,9200,1,3,3,0,4,0,15,2,2,0,5,8,5,1998,1998,1,1,12,13,1,473.0,2,4,2,2,3,3,2,986,5,0,484,1470,0,2,1,4,1470,1160,0,2630,1,0,2,1,4,1,2,8,5,1,1,1998.0,0,3,696,4,4,2,0,66,0,0,0,0,6,2008,8,4,315000
424,425,20,3,72.0,9000,1,3,3,0,4,0,12,2,2,0,2,6,5,1956,1956,1,1,13,14,1,74.0,3,4,1,2,3,3,3,616,5,0,580,1196,0,2,1,0,1196,0,0,1196,1,0,1,0,2,1,3,6,5,1,1,1956.0,1,1,297,4,4,2,0,44,0,0,0,0,5,2008,8,4,139000
425,426,60,4,60.0,3378,1,3,1,0,4,0,17,2,2,0,5,7,8,1946,1992,1,1,6,6,2,0.0,3,2,1,3,3,3,5,0,5,0,651,651,0,2,1,4,707,682,0,1389,0,0,1,1,3,1,3,6,5,2,5,1947.0,2,1,240,4,4,1,0,0,126,0,0,0,9,2009,8,4,135000
427,428,20,3,77.0,8593,1,0,3,0,4,0,12,2,2,0,2,4,6,1957,1957,3,1,8,8,2,0.0,3,4,1,3,3,3,4,288,5,0,619,907,0,0,1,4,907,0,0,907,0,0,1,0,3,1,3,5,5,0,5,1964.0,2,1,352,4,4,2,0,0,0,0,0,0,7,2008,8,4,109008
428,429,20,3,64.0,6762,1,3,3,0,4,0,5,2,2,0,2,7,5,2007,2007,1,1,12,13,1,108.0,2,4,2,2,3,3,2,664,5,0,544,1208,0,0,1,4,1208,0,0,1208,1,0,2,0,2,1,2,6,5,0,1,2007.0,1,2,628,4,4,2,105,54,0,0,0,0,9,2007,6,5,195400
429,430,20,3,130.0,11457,1,0,3,0,0,0,23,2,2,0,2,6,5,1988,1988,1,1,6,6,2,0.0,3,4,1,2,3,2,2,1005,5,0,387,1392,0,4,1,4,1412,0,0,1412,1,0,2,0,3,1,2,6,5,1,1,1988.0,2,2,576,4,4,2,0,0,169,0,0,0,3,2009,8,4,175000
430,431,160,4,21.0,1680,1,3,3,0,4,0,2,2,2,3,5,6,5,1971,1971,1,1,6,6,1,232.0,3,4,1,3,3,3,0,387,5,0,96,483,0,4,1,4,483,504,0,987,0,0,1,1,2,1,3,4,5,0,5,1971.0,2,1,264,4,4,2,0,0,0,0,0,0,7,2008,0,0,85400
431,432,50,4,60.0,5586,1,0,0,0,4,0,17,1,2,0,0,6,7,1920,1998,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,901,901,0,2,1,4,1088,110,0,1198,0,0,1,0,4,1,3,7,5,0,6,1978.5430346051464,3,0,0,5,5,0,0,98,0,0,0,0,9,2008,3,0,79900
432,433,160,4,24.0,1920,1,3,3,0,4,0,2,2,2,4,5,5,5,1971,1971,1,1,6,6,1,376.0,3,4,1,3,3,3,0,471,5,0,294,765,0,0,1,4,765,600,0,1365,1,0,1,1,2,1,3,6,2,0,5,1971.0,2,2,440,4,4,2,240,36,0,0,0,0,8,2007,8,4,122500
433,434,60,3,100.0,10839,1,0,3,0,0,0,8,2,2,0,5,6,5,1997,1998,1,1,12,13,2,0.0,3,4,2,2,3,3,5,0,5,0,926,926,0,0,1,4,926,678,0,1604,0,0,2,1,3,1,3,7,5,1,1,1997.0,0,2,470,4,4,2,0,36,0,0,0,0,7,2008,8,4,181000
434,435,180,4,21.0,1890,1,3,3,0,4,0,10,2,2,3,6,4,7,1972,1972,1,1,5,5,2,0.0,3,2,1,2,3,0,0,495,5,0,135,630,0,2,1,4,630,0,0,630,1,0,1,0,1,1,3,3,5,0,6,1978.5430346051464,3,0,0,5,5,2,88,0,0,0,0,0,6,2008,8,4,81000
435,436,60,3,43.0,10667,1,1,3,0,1,0,5,4,2,0,5,7,6,1996,1996,1,1,12,13,2,0.0,2,4,2,2,3,0,2,385,0,344,70,799,0,0,1,4,827,834,0,1661,1,0,2,1,3,1,2,6,5,1,1,1996.0,1,2,550,4,4,2,158,61,0,0,0,0,4,2009,5,4,212000
436,437,50,4,40.0,4400,1,3,3,0,4,0,17,2,2,0,0,6,8,1920,1950,1,1,11,12,2,0.0,3,4,0,1,3,3,5,0,5,0,648,648,0,4,1,0,734,384,0,1118,0,0,1,0,2,1,3,6,5,0,5,1990.0,2,2,440,4,4,2,0,0,0,0,0,0,10,2006,8,4,116000
437,438,45,4,50.0,6000,1,3,3,0,4,0,3,2,2,0,1,6,7,1926,2004,1,1,13,14,2,0.0,2,4,2,3,3,3,5,0,5,0,884,884,0,2,1,4,904,0,0,904,0,0,1,0,2,1,3,4,5,0,5,1926.0,2,1,180,4,4,2,0,0,105,0,0,0,1,2009,8,4,119000
438,439,30,3,40.0,4280,1,3,3,0,4,0,6,2,2,0,2,5,6,1913,2002,1,1,14,12,2,0.0,3,4,2,3,3,3,3,365,5,0,75,440,0,4,0,4,694,0,0,694,0,0,1,0,2,1,2,4,5,1,5,1990.0,2,1,352,2,4,1,0,0,34,0,0,0,3,2007,8,4,90350
439,440,50,3,67.0,12354,1,3,3,0,0,0,7,2,2,0,0,6,8,1920,2000,1,1,13,14,2,0.0,3,4,0,3,0,2,5,0,5,0,684,684,0,2,1,4,684,512,0,1196,0,0,1,0,3,1,2,7,5,0,5,2005.0,2,2,528,4,4,2,0,46,0,0,0,800,8,2009,4,4,110000
440,441,20,3,105.0,15431,1,3,3,0,4,0,16,2,2,0,2,10,5,2008,2008,3,1,12,13,3,200.0,0,4,2,0,3,1,2,1767,0,539,788,3094,0,0,1,4,2402,0,0,2402,1,0,2,0,2,1,0,10,5,2,1,2008.0,0,3,672,4,4,2,0,72,0,0,170,0,4,2009,8,4,555000
441,442,90,3,92.0,12108,1,3,3,0,4,0,7,2,2,2,2,4,4,1955,1955,1,1,12,13,1,270.0,3,4,1,3,3,3,0,133,5,0,1307,1440,0,4,0,1,1440,0,0,1440,0,0,2,0,4,2,1,8,5,0,6,1978.5430346051464,3,0,0,5,5,2,0,0,0,0,0,0,9,2008,8,4,118000
442,443,50,4,52.0,6240,1,3,3,0,4,0,3,2,2,0,0,5,7,1930,1992,1,1,8,8,2,0.0,3,4,2,3,3,3,5,0,5,0,1078,1078,0,4,1,4,1128,445,0,1573,0,0,2,0,3,1,3,8,5,1,5,1930.0,2,2,360,4,4,1,0,0,0,0,0,0,6,2008,8,4,162900
